EdgeID,SourceNodeID,TargetNodeID
0,0,1
1,2,3
2,4,5
3,4,6
4,4,7
5,4,8
6,4,9
7,10,11
8,12,12
9,12,13
10,14,8
11,15,16
12,15,17
13,18,19
14,20,21
15,20,22
16,20,17
17,7,9
18,7,23
19,24,25
20,24,26
21,25,27
22,28,25
23,28,29
24,30,31
25,30,32
26,33,32
27,31,34
28,35,33
29,35,36
30,37,36
31,38,37
32,39,39
33,39,40
34,41,42
35,41,43
36,41,44
37,45,43
38,46,47
39,46,48
40,49,45
41,50,51
42,50,50
43,52,51
44,52,50
45,52,53
46,54,55
47,56,57
48,57,1
49,1,58
50,59,57
51,59,1
52,59,60
53,61,59
54,61,58
55,62,63
56,62,64
57,65,62
58,65,66
59,63,67
60,63,68
61,63,69
62,70,70
63,71,72
64,71,73
65,74,75
66,76,77
67,78,73
68,78,79
69,78,80
70,77,81
71,77,79
72,22,21
73,82,54
74,82,57
75,82,83
76,58,62
77,64,65
78,64,84
79,67,85
80,67,86
81,68,87
82,88,89
83,88,67
84,88,68
85,88,90
86,91,70
87,91,90
88,90,92
89,75,74
90,75,78
91,75,73
92,93,77
93,93,81
94,94,74
95,95,64
96,81,19
97,96,97
98,98,99
99,79,78
100,79,73
101,79,81
102,80,75
103,17,79
104,17,100
105,92,69
106,92,101
107,92,102
108,103,90
109,103,98
110,103,104
111,103,105
112,69,89
113,69,70
114,69,94
115,69,106
116,84,107
117,60,58
118,60,95
119,108,90
120,108,69
121,108,109
122,66,61
123,66,66
124,66,107
125,87,68
126,87,85
127,86,87
128,86,107
129,107,110
130,111,96
131,112,82
132,112,86
133,109,84
134,104,92
135,104,108
136,104,109
137,101,72
138,101,102
139,101,113
140,19,19
141,19,114
142,115,116
143,117,72
144,117,94
145,117,118
146,117,119
147,83,54
148,83,82
149,83,120
150,83,110
151,121,86
152,122,102
153,122,123
154,122,124
155,120,112
156,125,108
157,125,109
158,125,104
159,125,121
160,125,126
161,127,128
162,129,50
163,129,60
164,129,86
165,129,120
166,129,110
167,129,130
168,131,96
169,131,19
170,131,132
171,131,133
172,114,134
173,114,135
174,118,103
175,118,119
176,118,123
177,118,136
178,128,115
179,106,117
180,106,106
181,106,126
182,105,108
183,105,122
184,105,126
185,119,128
186,119,135
187,137,138
188,139,139
189,126,140
190,135,127
191,135,128
192,135,116
193,141,130
194,141,142
195,123,118
196,123,143
197,116,114
198,130,112
199,55,49
200,55,51
201,55,124
202,132,144
203,124,120
204,145,131
205,145,146
206,143,113
207,143,143
208,144,132
209,144,147
210,148,8
211,149,32
212,149,150
213,53,52
214,53,53
215,53,151
216,152,31
217,152,36
218,152,153
219,152,154
220,42,155
221,156,157
222,158,23
223,155,45
224,155,155
225,155,159
226,155,160
227,161,34
228,36,37
229,36,159
230,32,33
231,32,162
232,163,29
233,163,154
234,163,164
235,163,165
236,166,167
237,168,169
238,168,168
239,168,170
240,168,157
241,171,172
242,153,36
243,153,173
244,174,152
245,174,174
246,174,172
247,174,151
248,174,44
249,159,174
250,159,160
251,26,24
252,26,168
253,26,167
254,26,175
255,172,153
256,176,163
257,176,177
258,167,148
259,178,179
260,178,180
261,154,32
262,154,163
263,154,176
264,154,150
265,154,177
266,154,181
267,133,131
268,133,182
269,183,119
270,183,184
271,183,185
272,182,119
273,182,135
274,182,116
275,182,186
276,146,128
277,187,188
278,187,189
279,190,8
280,136,138
281,136,177
282,140,183
283,140,136
284,138,136
285,138,138
286,138,181
287,191,126
288,192,51
289,192,43
290,193,105
291,193,126
292,193,194
293,195,122
294,195,192
295,196,195
296,188,116
297,188,145
298,188,146
299,188,175
300,189,119
301,189,186
302,147,132
303,147,170
304,197,146
305,197,184
306,184,146
307,184,180
308,184,175
309,198,136
310,177,199
311,177,200
312,199,138
313,199,198
314,199,181
315,142,149
316,142,191
317,142,142
318,151,46
319,201,149
320,201,142
321,202,151
322,203,47
323,203,204
324,43,45
325,13,148
326,13,146
327,13,190
328,13,184
329,13,13
330,180,189
331,180,205
332,180,23
333,206,183
334,206,177
335,206,157
336,206,186
337,200,152
338,200,32
339,200,199
340,200,173
341,175,133
342,8,14
343,8,166
344,48,49
345,48,171
346,48,174
347,48,192
348,48,43
349,207,153
350,207,174
351,204,192
352,170,167
353,170,189
354,170,27
355,185,154
356,185,206
357,208,185
358,208,208
359,157,168
360,157,175
361,181,206
362,181,200
363,186,175
364,209,162
365,27,24
366,27,28
367,27,27
368,205,156
369,205,165
370,9,179
371,9,23
372,164,28
373,164,150
374,164,210
375,211,36
376,211,212
377,211,34
378,212,171
379,212,172
380,23,158
381,34,32
382,40,37
383,40,39
384,3,213
385,3,178
386,3,23
387,165,156
388,160,39
389,160,45
390,160,160
391,162,153
392,162,34
393,210,156
394,210,163
395,210,165
