NodeID,X,Y,Z
0,4.573242,4.573246,6.823752
1,10.667999,4.574478,6.074254
2,99.971924,69.4944,6.255437
3,87.782402,69.4944,6.095602
4,99.971924,63.398399,4.477406
5,99.97316,75.589157,3.558843
6,99.971924,51.206406,6.500338
7,93.878403,75.587921,6.630216
8,93.878403,51.206406,6.077591
9,93.878403,69.4944,5.971172
10,99.971924,57.302399,6.327324
11,93.878403,45.110405,5.0558
12,99.971924,45.110405,6.861607
13,87.782402,51.206406,5.651536
14,99.971924,39.014404,6.091189
15,99.971924,22.859999,2.901826
16,99.971924,28.955999,1.791986
17,93.878403,16.763998,1.31988
18,99.971924,16.763998,6.900961
19,87.782402,22.859999,5.487257
20,99.971924,10.668001,6.417762
21,99.97316,4.573246,6.818746
22,93.878403,4.574478,6.314417
23,81.686401,69.4944,6.164639
24,81.686401,75.587921,5.691482
25,69.4944,75.587921,7.001371
26,75.590401,63.398399,5.320158
27,75.590401,69.4944,3.329384
28,63.398399,75.587921,6.049379
29,51.206398,75.587921,6.886279
30,47.243999,75.587921,6.672749
31,35.051998,75.587921,7.044729
32,41.147999,63.398399,6.366922
33,41.147999,75.587921,5.69169
34,47.243999,69.4944,5.802458
35,28.955999,75.587921,6.60477
36,28.955999,63.398399,2.117554
37,22.860001,75.587921,6.715372
38,10.667999,75.587921,6.695484
39,4.574478,69.4944,5.917964
40,16.764,69.4944,5.859043
41,4.574478,63.398399,5.426452
42,10.667999,63.398399,6.168629
43,10.667999,51.206406,2.438403
44,10.667999,57.302399,2.888182
45,4.574478,57.302399,6.607082
46,4.574478,51.206398,3.257824
47,10.667999,45.110405,5.928615
48,16.764,51.206406,2.275552
49,4.574478,45.110405,6.24716
50,4.574478,35.052002,6.682058
51,4.574478,39.014404,3.687456
52,4.574478,28.955999,2.197267
53,10.667999,39.014404,6.397514
54,4.574478,22.859999,5.992579
55,10.667999,35.052002,5.746987
56,4.574478,16.763998,3.417669
57,4.574478,10.668001,2.142235
58,16.764,10.668001,5.134693
59,16.764,4.574478,6.765057
60,16.764,16.763998,6.155194
61,22.860001,4.574478,6.227376
62,28.955999,4.574478,5.408771
63,41.147999,4.574478,5.899613
64,22.860001,10.668001,3.536772
65,35.052002,4.574478,2.309488
66,28.955999,16.763998,5.844406
67,28.955999,10.668001,6.293272
68,35.052002,10.668001,3.972995
69,47.243999,16.763998,1.169914
70,51.206402,4.574478,3.304249
71,63.398399,4.574478,5.672953
72,63.398399,10.668001,5.938671
73,75.590401,10.668001,1.812593
74,69.4944,4.574478,7.099001
75,81.686401,10.668001,6.160693
76,75.590401,4.574478,2.745647
77,87.782402,4.574478,7.001022
78,81.686401,4.574478,2.039942
79,87.782402,16.763998,6.250442
80,75.590401,16.763998,6.154438
81,81.686401,16.763998,6.391741
82,10.667999,10.668001,5.817775
83,10.667999,22.859999,5.313757
84,35.052002,16.763998,5.808156
85,22.860001,16.763998,1.395413
86,22.860001,22.859999,6.248976
87,35.052002,22.859999,4.258259
88,41.147999,10.668001,2.734292
89,47.243999,4.574478,6.699733
90,51.206402,10.668001,1.807368
91,47.243999,10.668001,3.654751
92,57.302399,16.763998,1.918334
93,93.878403,10.668001,6.090898
94,57.302399,10.668001,6.339875
95,10.667999,16.763998,2.263813
96,69.4944,16.763998,2.699981
97,69.4944,10.668001,5.854599
98,63.398399,16.763998,6.310097
99,75.590401,22.859999,4.993737
100,93.878403,22.859999,6.024047
101,57.302399,22.859999,6.563632
102,47.243999,22.859999,1.366481
103,51.206402,16.763998,3.020034
104,51.206402,22.859999,3.014533
105,47.243999,28.955999,6.297349
106,51.206402,28.955999,5.972744
107,28.955999,22.859999,5.728968
108,41.147999,16.763998,1.541906
109,41.147999,22.859999,3.895162
110,22.860001,28.955999,1.562959
111,69.4944,22.859999,4.871814
112,16.764,22.859999,6.589348
113,63.398399,28.955999,3.420376
114,93.878403,28.955999,5.886377
115,81.686401,22.859999,5.326034
116,87.782402,35.052002,4.555945
117,63.398399,22.859999,1.759273
118,57.302399,28.955999,5.779631
119,69.4944,35.052002,6.235416
120,16.764,28.955999,3.241167
121,28.955999,28.955999,4.458503
122,35.052002,28.955999,5.515052
123,47.243999,35.052002,5.511322
124,22.860001,35.052002,6.319271
125,41.147999,28.955999,6.421212
126,41.147999,35.052002,2.966291
127,69.4944,28.955999,5.493318
128,81.686401,28.955999,5.124983
129,10.667999,28.955999,6.143247
130,16.764,35.052002,2.324008
131,75.590401,28.955999,4.930869
132,63.398399,35.052002,5.700687
133,69.4944,39.014404,6.192476
134,99.971924,35.052002,6.890785
135,81.686401,35.052002,5.152637
136,57.302399,39.014404,2.454299
137,35.052002,35.052002,6.217366
138,47.243999,39.014404,6.193811
139,93.878403,35.052002,1.680787
140,51.206402,39.014404,5.856182
141,28.955999,35.052002,5.866084
142,35.052002,45.110405,3.51151
143,51.206402,35.052002,5.473734
144,57.302399,35.052002,6.292636
145,75.590401,35.052002,4.679482
146,87.782402,39.014404,1.944957
147,63.398399,45.110405,6.330971
148,93.878403,57.302399,2.84381
149,41.147999,57.302399,6.082874
150,51.206402,57.302399,4.68554
151,16.764,45.110405,6.17647
152,35.052002,63.398399,6.086663
153,35.052002,57.302399,6.277744
154,47.243999,57.302399,6.125418
155,16.764,63.398399,6.236073
156,63.398399,63.398399,6.342468
157,63.398399,57.302399,6.054049
158,87.782402,63.398399,5.197413
159,16.764,57.302399,6.30004
160,10.667999,69.4944,2.381604
161,47.243999,63.398399,6.443247
162,35.052002,69.4944,2.234221
163,57.302399,63.398399,5.313223
164,57.302399,69.4944,4.314365
165,63.398399,69.4944,5.102871
166,93.878403,63.398399,5.63137
167,81.686401,57.302399,6.449282
168,69.4944,63.398399,5.650265
169,75.590401,75.587921,4.94944
170,69.4944,57.302399,5.480013
171,28.955999,57.302399,2.712006
172,22.860001,63.398399,6.381164
173,35.052002,51.206406,5.852973
174,22.860001,57.302399,1.370453
175,69.4944,51.206406,6.254215
176,57.302399,57.302399,3.340938
177,51.206402,45.110405,1.710395
178,87.782402,57.302399,6.214018
179,81.686401,63.398399,4.785599
180,75.590401,57.302399,6.285993
181,51.206402,51.206406,6.260052
182,81.686401,39.014404,6.306158
183,63.398399,39.014404,6.136467
184,75.590401,45.110405,2.316606
185,57.302399,51.206406,1.530686
186,75.590401,51.206406,3.99915
187,75.590401,39.014404,6.037912
188,81.686401,45.110405,6.147466
189,69.4944,45.110405,6.456127
190,93.878403,39.014404,5.352018
191,35.052002,39.014404,4.721725
192,16.764,39.014404,6.371049
193,41.147999,39.014404,6.158748
194,47.243999,51.206406,2.945492
195,28.955999,39.014404,5.992116
196,22.860001,39.014404,1.663387
197,87.782402,45.110405,4.109612
198,57.302399,45.110405,2.271954
199,47.243999,45.110405,5.865539
200,41.147999,51.206406,5.788898
201,41.147999,45.110405,2.674701
202,28.955999,45.110405,5.538329
203,22.860001,45.110405,5.908772
204,22.860001,51.206406,2.535839
205,69.4944,69.4944,1.781112
206,63.398399,51.206406,2.086586
207,28.955999,51.206406,1.806839
208,51.206402,63.398399,5.290397
209,22.860001,69.4944,5.774783
210,51.206402,69.4944,5.537481
211,41.147999,69.4944,5.864267
212,28.955999,69.4944,2.583287
213,87.782402,75.587921,6.558706
